street,city,beds,baths,sq__ft,type,price
404 6TH ST,GALT,3,1,1479,Residential,188741.0
8317 SUNNY CREEK WAY,SACRAMENTO,3,2,1420,Residential,207900.00000000003
2617 BASS CT,SACRAMENTO,3,2,1280,Residential,211273.7
7005 TIANT WAY,ELK GROVE,3,2,1586,Residential,194000.0
7895 CABER WAY,ANTELOPE,3,2,1362,Residential,194818.0
7624 BOGEY CT,SACRAMENTO,4,4,2162,Multi-Family,224249.99999999997
6930 HAMPTON COVE WAY,SACRAMENTO,3,2,1266,Residential,217800.00000000003
8708 MESA BROOK WAY,ELK GROVE,4,2,1715,Residential,199500.0
120 GRANT LN,FOLSOM,3,2,1820,Residential,200000.0
5907 ELLERSLEE DR,CARMICHAEL,3,1,936,Residential,200000.0
17 SERASPI CT,SACRAMENTO,0,0,0,Residential,226600.00000000003
170 PENHOW CIR,SACRAMENTO,3,2,1511,Residential,228800.00000000003
8345 STAR THISTLE WAY,SACRAMENTO,4,2,1590,Residential,234150.40000000002
9080 FRESCA WAY,ELK GROVE,4,2,1596,Residential,221000.0
391 NATALINO CIR,SACRAMENTO,2,2,1341,Residential,243100.00000000003
8373 BLACKMAN WAY,ELK GROVE,5,3,2136,Residential,223058.0
9837 CORTE DORADO CT,ELK GROVE,4,2,1616,Residential,227887.0
5037 J PKWY,SACRAMENTO,3,2,1478,Residential,254624.7
10245 LOS PALOS DR,RANCHO CORDOVA,3,2,1287,Residential,234697.0
6613 NAVION DR,CITRUS HEIGHTS,4,2,1277,Residential,235000.0
2887 AZEVEDO DR,SACRAMENTO,4,2,1448,Residential,259600.00000000003
9186 KINBRACE CT,SACRAMENTO,4,3,2235,Residential,260353.50000000003
4243 MIDDLEBURY WAY,MATHER,3,2,2093,Residential,237800.0
1028 FALLON PLACE CT,RIO LINDA,3,2,1193,Residential,240122.0
4804 NORIKER DR,ELK GROVE,3,2,2163,Residential,242638.0
7713 HARVEST WOODS DR,SACRAMENTO,3,2,1269,Residential,268400.0
2866 KARITSA AVE,SACRAMENTO,0,0,0,Residential,268950.0
6913 RICHEVE WAY,SACRAMENTO,3,1,958,Residential,269456.0
8636 TEGEA WAY,ELK GROVE,5,3,2508,Residential,245918.0
5448 MAIDSTONE WAY,CITRUS HEIGHTS,3,2,1305,Residential,250000.0
18 OLLIE CT,ELK GROVE,4,2,1591,Residential,250000.0
4010 ALEX LN,CARMICHAEL,2,2,1326,Condo,250134.0
4901 MILLNER WAY,ELK GROVE,3,2,1843,Residential,254200.0
4818 BRITTNEY LEE CT,SACRAMENTO,4,2,1921,Residential,279620.0
5529 LAGUNA PARK DR,ELK GROVE,5,3,2790,Residential,258000.0
230 CANDELA CIR,SACRAMENTO,3,2,1541,Residential,286000.0
4900 71ST ST,SACRAMENTO,3,1,1018,Residential,286015.4
12209 CONSERVANCY WAY,RANCHO CORDOVA,0,0,0,Residential,263500.0
4236 NATOMAS CENTRAL DR,SACRAMENTO,3,2,1672,Condo,291500.0
5615 LUPIN LN,POLLOCK PINES,3,2,1380,Residential,265000.0
5625 JAMES WAY,SACRAMENTO,3,1,975,Residential,298916.2
7842 LAHONTAN CT,SACRAMENTO,4,3,2372,Residential,301125.0
6850 21ST ST,SACRAMENTO,3,2,1446,Residential,302594.60000000003
2900 BLAIR RD,POLLOCK PINES,2,2,1284,Residential,280908.0
2064 EXPEDITION WAY,SACRAMENTO,4,3,3009,Residential,309085.7
2912 NORCADE CIR,SACRAMENTO,8,4,3612,Multi-Family,324760.0
9507 SEA CLIFF WAY,ELK GROVE,4,2,2056,Residential,285000.0
8882 AUTUMN GOLD CT,ELK GROVE,4,2,1993,Residential,287417.0
5322 WHITE LOTUS WAY,ELK GROVE,3,2,1857,Residential,291000.0
1838 CASTRO WAY,SACRAMENTO,2,1,1126,Residential,321226.4
10158 CRAWFORD WAY,SACRAMENTO,4,4,2213,Multi-Family,341550.0
7731 MASTERS ST,ELK GROVE,5,3,2494,Residential,297000.0
4925 PERCHERON DR,ELK GROVE,3,2,1843,Residential,298000.0
2010 PROMONTORY POINT LN,GOLD RIVER,2,2,1520,Residential,299000.0
4727 SAVOIE WAY,SACRAMENTO,5,3,2800,Residential,334440.7
8664 MAGNOLIA HILL WAY,ELK GROVE,4,2,2309,Residential,311000.0
9570 HARVEST ROSE WAY,SACRAMENTO,5,3,2367,Residential,347090.7
4359 CREGAN CT,RANCHO CORDOVA,5,4,3516,Residential,320000.0
5337 DUSTY ROSE WAY,RANCHO CORDOVA,0,0,0,Residential,320000.0
8929 SUTTERS GOLD DR,SACRAMENTO,4,3,1914,Residential,361196.00000000006
8025 PEERLESS AVE,ORANGEVALE,2,1,1690,Residential,334150.0
4620 WELERA WAY,ELK GROVE,3,3,2725,Residential,335750.0
9723 TERRAPIN CT,ELK GROVE,4,3,2354,Residential,335750.0
2115 SMOKESTACK WAY,SACRAMENTO,0,0,0,Residential,373450.00000000006
100 REBECCA WAY,FOLSOM,3,2,2185,Residential,344250.0
9488 OAK VILLAGE WAY,ELK GROVE,4,2,1801,Residential,346210.0
8495 DARTFORD DR,SACRAMENTO,3,3,1961,Residential,381731.9
6708 PONTA DO SOL WAY,ELK GROVE,4,2,3134,Residential,347650.0
4143 SEA MEADOW WAY,SACRAMENTO,4,3,1915,Residential,386430.00000000006
3020 RICHARDSON CIR,EL DORADO HILLS,3,2,0,Residential,352000.0
8082 LINDA ISLE LN,SACRAMENTO,0,0,0,Residential,407000.00000000006
15300 MURIETA SOUTH PKWY,RANCHO MURIETA,4,3,2734,Residential,370500.0
11215 SHARRMONT CT,WILTON,3,2,2110,Residential,372000.0
7105 DANBERG WAY,ELK GROVE,5,3,3164,Residential,375000.0
5579 JERRY LITELL WAY,SACRAMENTO,5,3,3599,Residential,419430.00000000006
1050 FOXHALL WAY,SACRAMENTO,4,2,2054,Residential,420136.2
7837 ABBINGTON WAY,ANTELOPE,4,2,1830,Residential,387731.0
1300 F ST,SACRAMENTO,3,3,1627,Residential,430100.00000000006
6801 RAWLEY WAY,ELK GROVE,4,3,3440,Residential,394470.0
1693 SHELTER COVE DR,GREENWOOD,3,2,2846,Residential,395000.0
9361 WADDELL LN,ELK GROVE,4,3,2359,Residential,400186.0
10 SEA FOAM CT,SACRAMENTO,3,3,2052,Residential,456500.00000000006
6945 RIO TEJO WAY,ELK GROVE,5,3,3433,Residential,425000.0
4186 TULIP PARK WAY,RANCHO CORDOVA,5,3,3615,Residential,430000.0
9278 DAIRY CT,ELK GROVE,0,0,0,Residential,445000.0
207 ORANGE BLOSSOM CIR Unit C,FOLSOM,5,3,2687,Residential,460000.0
6507 RIO DE ONAR WAY,ELK GROVE,4,3,2724,Residential,461000.0
7004 RAWLEY WAY,ELK GROVE,4,3,3440,Residential,489332.0
6503 RIO DE ONAR WAY,ELK GROVE,5,4,3508,Residential,510000.0
2217 APPALOOSA CT,FOLSOM,4,2,2462,Residential,539000.0
868 HILDEBRAND CIR,FOLSOM,0,0,0,Residential,585000.0
6030 PALERMO WAY,EL DORADO HILLS,4,3,0,Residential,600000.0
4070 REDONDO DR,EL DORADO HILLS,4,3,0,Residential,606238.0
4004 CRESTA WAY,SACRAMENTO,3,3,2325,Residential,726000.0000000001
315 JUMEL CT,EL DORADO HILLS,6,5,0,Residential,830000.0
6272 LONGFORD DR Unit 1,CITRUS HEIGHTS,2,1,795,Condo,69000.0
3432 Y ST,SACRAMENTO,4,2,1099,Residential,77000.0
9512 EMERALD PARK DR Unit 3,ELK GROVE,2,1,840,Condo,71000.0
3132 CLAY ST,SACRAMENTO,2,1,800,Residential,85800.0
5221 38TH AVE,SACRAMENTO,2,1,746,Residential,86240.0
6112 HERMOSA ST,SACRAMENTO,3,1,1067,Residential,88000.0
483 ARCADE BLVD,SACRAMENTO,4,2,1316,Residential,97900.00000000001
671 SONOMA AVE,SACRAMENTO,3,1,1337,Residential,99000.00000000001
5980 79TH ST,SACRAMENTO,2,1,868,Residential,99000.00000000001
7607 ELDER CREEK RD,SACRAMENTO,3,1,924,Residential,101200.00000000001
5028 14TH AVE,SACRAMENTO,2,1,610,Residential,103042.50000000001
14788 NATCHEZ CT,RANCHO MURIETA,0,0,0,Residential,97750.0
1069 ACACIA AVE,SACRAMENTO,2,1,1220,Residential,107800.00000000001
5201 LAGUNA OAKS DR Unit 199,ELK GROVE,1,1,722,Condo,98000.0
3847 LAS PASAS WAY,SACRAMENTO,3,1,1643,Residential,108900.00000000001
5201 LAGUNA OAKS DR Unit 172,ELK GROVE,1,1,722,Condo,100000.0
1121 CREEKSIDE WAY,GALT,3,1,1080,Residential,106716.0
5307 CABRILLO WAY,SACRAMENTO,3,1,1039,Residential,122100.00000000001
3725 DON JULIO BLVD,NORTH HIGHLANDS,3,1,1051,Residential,111000.0
4803 MCCLOUD DR,SACRAMENTO,2,2,967,Residential,126280.00000000001
10542 SILVERWOOD WAY,RANCHO CORDOVA,3,1,1098,Residential,120108.0
6318 39TH AVE,SACRAMENTO,3,1,1050,Residential,135547.5
211 MCDANIEL CIR,SACRAMENTO,3,2,1110,Residential,136125.0
3800 LYNHURST WAY,NORTH HIGHLANDS,3,1,888,Residential,125000.0
6139 HERMOSA ST,SACRAMENTO,3,2,1120,Residential,137500.0
2505 RHINE WAY,ELVERTA,3,2,1080,Residential,126000.0
3692 PAYNE WAY,NORTH HIGHLANDS,3,1,957,Residential,129000.0
604 MORRISON AVE,SACRAMENTO,2,1,952,Residential,147400.0
648 SANTA ANA AVE,SACRAMENTO,3,2,1211,Residential,148500.0
14 ASHLEY OAKS CT,SACRAMENTO,3,2,1264,Residential,149050.0
3174 NORTHVIEW DR,SACRAMENTO,3,1,1080,Residential,154000.0
840 TRANQUIL LN,GALT,3,2,1266,Residential,140000.0
5333 PRIMROSE DR Unit 19A,FAIR OAKS,2,2,994,Condo,142500.0
1035 MILLET WAY,SACRAMENTO,3,2,1202,Residential,157850.0
5201 LAGUNA OAKS DR Unit 126,ELK GROVE,0,0,0,Condo,145000.0
3328 22ND AVE,SACRAMENTO,2,1,722,Residential,159500.0
8001 HARTWICK WAY,SACRAMENTO,4,2,1448,Residential,159500.0
7812 HARTWICK WAY,SACRAMENTO,3,2,1188,Residential,159500.0
4207 PAINTER WAY,NORTH HIGHLANDS,4,2,1183,Residential,146000.0
7458 WINKLEY WAY,SACRAMENTO,3,1,1320,Residential,163350.0
8354 SUNRISE WOODS WAY,SACRAMENTO,3,2,1117,Residential,163900.0
8116 COTTONMILL CIR,SACRAMENTO,3,2,1364,Residential,165000.0
4660 CEDARWOOD WAY,SACRAMENTO,4,2,1310,Residential,165000.0
9254 HARROGATE WAY,ELK GROVE,2,2,1006,Residential,152000.0
6716 TAREYTON WAY,CITRUS HEIGHTS,3,2,1104,Residential,156000.0
2028 ROBERT WAY,SACRAMENTO,2,1,810,Residential,171600.0
9346 AIZENBERG CIR,ELK GROVE,2,2,1123,Residential,156000.0
4524 LOCH HAVEN WAY,SACRAMENTO,2,1,904,Residential,173566.80000000002
7140 BLUE SPRINGS WAY,CITRUS HEIGHTS,3,2,1156,Residential,161653.0
4631 11TH AVE,SACRAMENTO,2,1,1321,Residential,178011.90000000002
3228 BAGGAN CT,ANTELOPE,3,2,1392,Residential,165000.0
8515 DARTFORD DR,SACRAMENTO,3,2,1439,Residential,184800.00000000003
4500 TIPPWOOD WAY,SACRAMENTO,3,2,1159,Residential,185900.00000000003
2460 EL ROCCO WAY,RANCHO CORDOVA,3,2,1671,Residential,175000.0
8244 SUNBIRD WAY,SACRAMENTO,3,2,1740,Residential,193875.00000000003
5841 VALLEY VALE WAY,SACRAMENTO,3,2,1265,Residential,196900.00000000003
7863 CRESTLEIGH CT,ANTELOPE,2,2,1007,Residential,180000.0
7129 SPRINGMONT DR,ELK GROVE,3,2,1716,Residential,180400.0
8284 RED FOX WAY,ELK GROVE,4,2,1685,Residential,182000.0
2219 EL CANTO CIR,RANCHO CORDOVA,4,2,1829,Residential,184500.0
8907 GEMWOOD WAY,ELK GROVE,3,2,1555,Residential,185000.0
5925 MALEVILLE AVE,CARMICHAEL,4,2,1120,Residential,189000.0
7031 CANEVALLEY CIR,CITRUS HEIGHTS,3,2,1137,Residential,194000.0
3949 WILDROSE WAY,SACRAMENTO,3,1,1174,Residential,214500.00000000003
4437 MITCHUM CT,ANTELOPE,3,2,1393,Residential,200000.0
2778 KAWEAH CT,CAMERON PARK,3,1,0,Residential,201000.0
1636 ALLENWOOD CIR,LINCOLN,4,2,0,Residential,202500.0
8151 QUAIL RIDGE CT,SACRAMENTO,3,2,1289,Residential,225500.00000000003
4899 WIND CREEK DR,SACRAMENTO,4,2,1799,Residential,225500.00000000003
2370 BIG CANYON CREEK RD,PLACERVILLE,3,2,0,Residential,205000.0
6049 HAMBURG WAY,SACRAMENTO,4,3,1953,Residential,225500.00000000003
4232 71ST ST,SACRAMENTO,2,1,723,Residential,227700.00000000003
3361 BOW MAR CT,CAMERON PARK,2,2,0,Residential,210000.0
1889 COLD SPRINGS RD,PLACERVILLE,2,1,948,Residential,211500.0
5805 HIMALAYA WAY,CITRUS HEIGHTS,4,2,1578,Residential,215000.0
7944 SYLVAN OAK WAY,CITRUS HEIGHTS,3,2,1317,Residential,215000.0
3139 SPOONWOOD WAY Unit 1,SACRAMENTO,0,0,0,Residential,237050.00000000003
6217 LEOLA WAY,SACRAMENTO,3,1,1360,Residential,244619.1
2340 HURLEY WAY,SACRAMENTO,0,0,0,Condo,247500.00000000003
3035 BRUNNET LN,SACRAMENTO,3,2,1522,Residential,247500.00000000003
3025 EL PRADO WAY,SACRAMENTO,4,2,1751,Residential,247500.00000000003
9387 GRANITE FALLS CT,ELK GROVE,3,2,1465,Residential,225000.0
9257 CALDERA WAY,SACRAMENTO,4,2,1605,Residential,250800.00000000003
441 ARLINGDALE CIR,RIO LINDA,4,2,1475,Residential,229665.0
2284 LOS ROBLES RD,MEADOW VISTA,3,1,1216,Residential,230000.0
8164 CHENIN BLANC LN,FAIR OAKS,2,2,1315,Residential,230000.0
4620 CHAMBERLIN CIR,ELK GROVE,3,2,1567,Residential,230000.0
5340 BIRK WAY,SACRAMENTO,3,2,1776,Residential,257400.00000000003
51 ANJOU CIR,SACRAMENTO,3,2,2187,Residential,258500.00000000003
2125 22ND AVE,SACRAMENTO,3,1,1291,Residential,259875.00000000003
611 BLOSSOM ROCK LN,FOLSOM,0,0,0,Condo,240000.0
8830 ADUR RD,ELK GROVE,0,0,0,Residential,242000.0
7344 BUTTERBALL WAY,SACRAMENTO,3,2,1503,Residential,269500.0
8219 GWINHURST CIR,SACRAMENTO,4,3,2491,Residential,269500.0
3240 S ST,SACRAMENTO,2,1,1269,Residential,269500.0
221 PICASSO CIR,SACRAMENTO,0,0,0,Residential,275000.0
5706 GREENACRES WAY,ORANGEVALE,3,2,1176,Residential,250000.0
6900 LONICERA DR,ORANGEVALE,4,2,1456,Residential,250000.0
419 DAWNRIDGE RD,ROSEVILLE,3,2,1498,Residential,250000.0
5312 MARBURY WAY,ANTELOPE,3,2,1574,Residential,255000.0
6344 BONHAM CIR,CITRUS HEIGHTS,5,4,2085,Multi-Family,256054.0
8207 YORKTON WAY,SACRAMENTO,3,2,2170,Residential,283501.9
7922 MANSELL WAY,ELK GROVE,4,2,1595,Residential,260000.0
5712 MELBURY CIR,ANTELOPE,3,2,1567,Residential,261000.0
632 NEWBRIDGE LN,LINCOLN,4,2,0,Residential,261800.0
1570 GLIDDEN AVE,SACRAMENTO,4,2,1253,Residential,290915.9
8108 FILIFERA WAY,ANTELOPE,4,3,1768,Residential,265000.0
230 BANKSIDE WAY,SACRAMENTO,0,0,0,Residential,297000.0
5342 CALABRIA WAY,SACRAMENTO,4,3,2030,Residential,297000.0
47 NAPONEE CT,SACRAMENTO,3,2,1531,Residential,297000.0
4236 ADRIATIC SEA WAY,SACRAMENTO,0,0,0,Residential,297000.0
8864 REMBRANT CT,ELK GROVE,4,3,1653,Residential,275000.0
9455 SEA CLIFF WAY,ELK GROVE,4,2,2056,Residential,275000.0
9720 LITTLE HARBOR WAY,ELK GROVE,4,3,2494,Residential,280000.0
8806 PHOENIX AVE,FAIR OAKS,3,2,1450,Residential,286013.0
3578 LOGGERHEAD WAY,SACRAMENTO,4,2,2169,Residential,321200.0
1416 LOCKHART WAY,ROSEVILLE,3,2,1440,Residential,292000.0
5413 BUENA VENTURA WAY,FAIR OAKS,3,2,1527,Residential,293993.0
37 WHITE BIRCH CT,ROSEVILLE,3,2,1401,Residential,294000.0
405 MARLIN SPIKE WAY,SACRAMENTO,3,2,1411,Residential,326445.9
1102 CHESLEY LN,LINCOLN,4,4,0,Residential,297500.0
11281 STANFORD COURT LN Unit 604,GOLD RIVER,0,0,0,Condo,300000.0
7320 6TH ST,RIO LINDA,3,1,1284,Residential,300000.0
993 MANTON CT,GALT,4,3,2307,Residential,300000.0
4487 PANORAMA DR,PLACERVILLE,3,2,1329,Residential,300000.0
5651 OVERLEAF WAY,SACRAMENTO,4,2,1910,Residential,330550.0
2015 PROMONTORY POINT LN,GOLD RIVER,3,2,1981,Residential,305000.0
3224 PARKHAM DR,ROSEVILLE,0,0,0,Residential,306500.0
15 VANESSA PL,SACRAMENTO,0,0,0,Residential,343750.0
1312 RENISON LN,LINCOLN,5,3,0,Residential,315000.0
8 RIVER RAFT CT,SACRAMENTO,4,2,2205,Residential,351767.9
2251 LAMPLIGHT LN,LINCOLN,2,2,1449,Residential,330000.0
106 FARHAM DR,FOLSOM,3,2,1258,Residential,330000.0
5405 NECTAR CIR,ELK GROVE,3,2,2575,Residential,331000.0
5411 10TH AVE,SACRAMENTO,2,1,539,Residential,367400.00000000006
3512 RAINSONG CIR,RANCHO CORDOVA,4,3,2208,Residential,336000.0
1106 55TH ST,SACRAMENTO,3,1,1108,Residential,372900.00000000006
411 ILLSLEY WAY,FOLSOM,4,2,1595,Residential,339000.0
796 BUTTERCUP CIR,GALT,4,2,2159,Residential,345000.0
1230 SANDRA CIR,PLACERVILLE,4,3,2295,Residential,350000.0
318 ANACAPA DR,ROSEVILLE,3,2,1838,Residential,356000.0
3975 SHINING STAR DR,SACRAMENTO,4,2,1900,Residential,397919.50000000006
1620 BASLER ST,SACRAMENTO,4,2,1718,Residential,398142.80000000005
9688 NATURE TRAIL WAY,ELK GROVE,5,3,3389,Residential,370000.0
5924 TANUS CIR,ROCKLIN,4,2,0,Residential,380000.0
9629 CEDAR OAK WAY,ELK GROVE,5,4,3260,Residential,385000.0
3429 FERNBROOK CT,CAMERON PARK,3,2,2016,Residential,399000.0
2121 HANNAH WAY,ROCKLIN,4,2,2607,Residential,402000.0
10104 ANNIE ST,ELK GROVE,4,3,2724,Residential,406026.0
1092 MAUGHAM CT,GALT,5,4,3746,Residential,420000.0
5404 ALMOND FALLS WAY,RANCHO CORDOVA,0,0,0,Residential,425000.0
6306 CONEJO,RANCHO MURIETA,4,2,3192,Residential,425000.0
14 CASA VATONI PL,SACRAMENTO,0,0,0,Residential,476850.00000000006
1456 EAGLESFIELD LN,LINCOLN,4,3,0,Residential,436746.0
4100 BOTHWELL CIR,EL DORADO HILLS,5,3,0,Residential,438700.0
427 21ST ST,SACRAMENTO,2,1,1247,Residential,489500.00000000006
1044 GALSTON DR,FOLSOM,4,2,2581,Residential,450000.0
4440 SYCAMORE AVE,SACRAMENTO,3,1,2068,Residential,506000.00000000006
1032 SOUZA DR,EL DORADO HILLS,3,2,0,Residential,460000.0
9760 LAZULITE CT,ELK GROVE,4,3,3992,Residential,460000.0
241 LANFRANCO CIR,SACRAMENTO,4,4,3397,Residential,534750.0
5559 NORTHBOROUGH DR,SACRAMENTO,5,3,3881,Residential,518925.00000000006
2125 BIG SKY DR,ROCKLIN,5,3,0,Residential,480000.0
2109 HAMLET PL,CARMICHAEL,2,2,1598,Residential,484000.0
9970 STATE HIGHWAY 193,PLACERVILLE,4,3,1929,Residential,485000.0
2901 PINTAIL WAY,ELK GROVE,4,3,3070,Residential,495000.0
201 FIRESTONE DR,ROSEVILLE,0,0,0,Residential,500500.0
1740 HIGH ST,AUBURN,3,3,0,Residential,504000.0
2733 DANA LOOP,EL DORADO HILLS,0,0,0,Residential,541000.0
9741 SADDLEBRED CT,WILTON,0,0,0,Residential,560000.0
7756 TIGERWOODS DR,SACRAMENTO,5,3,3984,Residential,629750.0
5709 RIVER OAK WAY,CARMICHAEL,4,2,2222,Residential,582000.0
2981 WRINGER DR,ROSEVILLE,4,3,3838,Residential,613401.0
8616 ROCKPORTE CT,ROSEVILLE,4,2,0,Residential,614000.0
4128 HILL ST,FAIR OAKS,5,5,2846,Residential,680000.0
1409 47TH ST,SACRAMENTO,5,2,2484,Residential,768900.0000000001
3935 EL MONTE DR,LOOMIS,4,4,1624,Residential,839000.0
5840 WALERGA RD,SACRAMENTO,2,1,840,Condo,44000.0
923 FULTON AVE,SACRAMENTO,1,1,484,Condo,52800.00000000001
261 REDONDO AVE,SACRAMENTO,3,1,970,Residential,67650.0
4030 BROADWAY,SACRAMENTO,2,1,623,Residential,68255.0
3660 22ND AVE,SACRAMENTO,2,1,932,Residential,71500.0
3924 HIGH ST,SACRAMENTO,2,1,796,Residential,71500.0
4734 14TH AVE,SACRAMENTO,2,1,834,Residential,74800.0
4734 14TH AVE,SACRAMENTO,2,1,834,Residential,74800.0
5050 RHODE ISLAND DR Unit 4,SACRAMENTO,2,1,924,Condo,84700.0
4513 GREENHOLME DR,SACRAMENTO,2,1,795,Condo,91005.20000000001
3845 ELM ST,SACRAMENTO,3,1,1250,Residential,92400.00000000001
3908 17TH AVE,SACRAMENTO,2,1,984,Residential,93142.50000000001
7109 CHANDLER DR,SACRAMENTO,3,1,1013,Residential,93500.00000000001
7541 SKELTON WAY,SACRAMENTO,3,1,1012,Residential,99000.00000000001
9058 MONTOYA ST,SACRAMENTO,2,1,795,Condo,99000.00000000001
1016 CONGRESS AVE,SACRAMENTO,2,2,918,Residential,100100.00000000001
540 MORRISON AVE,SACRAMENTO,3,1,1082,Residential,104500.00000000001
5303 JERRETT WAY,SACRAMENTO,2,1,964,Residential,107250.00000000001
2820 DEL PASO BLVD,SACRAMENTO,4,2,1404,Multi-Family,110000.00000000001
3715 TALLYHO DR Unit 78HIGH,SACRAMENTO,1,1,625,Condo,110000.00000000001
6013 ROWAN WAY,CITRUS HEIGHTS,2,1,888,Residential,101000.0
2987 PONDEROSA LN,SACRAMENTO,4,2,1120,Residential,113025.00000000001
3732 LANKERSHIM WAY,NORTH HIGHLANDS,3,1,1331,Residential,112500.0
2216 DUNLAP DR,SACRAMENTO,3,1,1014,Residential,124300.00000000001
3503 21ST AVE,SACRAMENTO,4,2,1448,Residential,125400.00000000001
523 EXCHANGE ST,SACRAMENTO,3,1,966,Residential,125400.00000000001
8101 PORT ROYALE WAY,SACRAMENTO,2,1,779,Residential,126225.00000000001
8020 WALERGA RD,ANTELOPE,2,2,836,Condo,115000.0
